Cow_ID,earliest_clinical_Day,latest_clinical_Day,first_positive_day,positive_days,negative_days,total_observation_days
cow137,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow138,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow139,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow14,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow140,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow141,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow142,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow143,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow144,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow145,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow146,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow147,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow148,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow149,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow15,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow150,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow151,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow152,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow153,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow154,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow155,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow156,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow157,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow158,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow159,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow16,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow160,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow161,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow162,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow163,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow164,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow165,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow166,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow167,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow168,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow169,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow17,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow170,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow171,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow172,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow173,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow174,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow175,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow176,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow177,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow178,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow179,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow18,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
